"year","r_aer_all","rfc_BC","rfc_cloud","rfc_NO3","rfc_POA","rfc_SO4","rfc_SOA"
1902,-0.0297004717046774,0.00832120141909371,-0.028793684941129,-0.000652552185510613,-0.00070121530843998,-0.00714956416350538,-8.24444351281534e-05
1903,-0.0312928348227165,0.00871753528622251,-0.0302665169226572,-0.000669468228744559,-0.00066998033025468,-0.00769209386374708,-7.85950140780374e-05
1904,-0.0332582263959158,0.00922837694719241,-0.032141788153251,-0.000720927531888467,-0.00071656730740085,-0.00820879099565108,-7.12666309318794e-05
1905,-0.035677634374487,0.00984521704631501,-0.0344121013882936,-0.000786049225963677,-0.00078785521673308,-0.00880910649837548,-6.90529979903714e-05
1906,-0.0387112037651403,0.0105717929490852,-0.037202536881933,-0.000849689617096047,-0.00086163503794185,-0.00961805677911268,-7.54665332968924e-05
1907,-0.0421523451169796,0.0113851745426881,-0.0403438465823236,-0.000930426511155007,-0.00098571032386358,-0.0104658458011689,-8.61069459148544e-05
1908,-0.0449993647519867,0.0120886265168181,-0.0429748423936663,-0.00101293778971285,-0.00109976697328296,-0.011116030721919,-9.57812913041724e-05
1909,-0.0475260392713309,0.0127209990668411,-0.0453314612740403,-0.00108479782128098,-0.00118376257147016,-0.0117200691746252,-0.00010459283583454
1910,-0.0501041854986342,0.0133258441530891,-0.0476641085645489,-0.00115073346328856,-0.00125433983710978,-0.0123794243125436,-0.000113226053235733
1911,-0.0520961148826708,0.0137104809116092,-0.0493823244106196,-0.0011938533402895,-0.00124220876879377,-0.0130286737330772,-0.000119350719743541
1912,-0.0538846794380283,0.013974615056699,-0.050814126148106,-0.00122822893044739,-0.00119776507543973,-0.0137275516743607,-0.000120904928568007
1913,-0.0557272919783242,0.0142478441449467,-0.0523324826152611,-0.00129010332174163,-0.00124132643919116,-0.0143009820706237,-0.000118573300958026
1914,-0.0568810294822207,0.0144098218430747,-0.0532224566742227,-0.0013621492333071,-0.00132250834326388,-0.0145398734208524,-0.000117394152051695
1915,-0.057852635172798,0.0145178210813591,-0.0539292123681556,-0.00140764266241007,-0.00133687282829024,-0.0148364870372285,-0.000121255788001854
1916,-0.0597763469497928,0.0148155560009099,-0.0555158539984088,-0.00145518462636106,-0.00133999303019003,-0.0154955093963737,-0.000130890442399033
1917,-0.0623812642014377,0.0153174367297142,-0.0577047365986498,-0.00153652127099778,-0.00139512435960579,-0.0162194960842589,-0.000144576321141112
1918,-0.0638677136249468,0.015631372433772,-0.0590272693021781,-0.00161963708208765,-0.00146885386137326,-0.0164932194043842,-0.000159163193240865
1919,-0.0643543720005555,0.0157333994796087,-0.0594776960806705,-0.00168626795428172,-0.00152822893895128,-0.0164419182127951,-0.000172413006355704
1920,-0.0647259631205018,0.0157913670820105,-0.0597772489104422,-0.00174663692415999,-0.00154032413482153,-0.0164498066396686,-0.00018307153102578
1921,-0.0642346085551,0.0156197029337915,-0.0592704757805011,-0.00179035485518648,-0.0014623407790242,-0.0163404065205569,-0.000190554323442704
1922,-0.0645941708747306,0.0156325392819896,-0.059505259986711,-0.00185270273320762,-0.00141349386398865,-0.0164733207552917,-0.000197096390880318
1923,-0.0666728144696443,0.0160177213544271,-0.0612863545832739,-0.00194593406762942,-0.00145790812436976,-0.0170388313764223,-0.000203541437642764
1924,-0.0683855719293023,0.0162301447692053,-0.0625899502333603,-0.00202036541721938,-0.00145558045002682,-0.0175993278118277,-0.000208752271938924
1925,-0.0693428925216568,0.0162083171264932,-0.0631877651763951,-0.00209085333101398,-0.00139596845334237,-0.0180510352669257,-0.000214556162009025
1926,-0.0706299163195916,0.0161988356688391,-0.0639404226430166,-0.0021841097889504,-0.00135185158807634,-0.0185745554447492,-0.000222468092371901
1927,-0.0722836913805011,0.0162376283733417,-0.0649913970829627,-0.00229559349362258,-0.00134777443883206,-0.0191676571825581,-0.000232246424031347
1928,-0.0740922157307944,0.0162891938140308,-0.0660914827236266,-0.00240865645915643,-0.00138070159293717,-0.0197934518947402,-0.000242771189023232
1929,-0.0759217785298922,0.0163492793102975,-0.0672170019163648,-0.00252898417346836,-0.00148355869031175,-0.0203104871317205,-0.000252513111538028
1930,-0.0761691410011373,0.0161824915710522,-0.0671562327513646,-0.00262006524428534,-0.00155725632116943,-0.020307985610144,-0.000259492443949406
1931,-0.0742681081695937,0.0156302246680903,-0.0652943383525891,-0.00265192127834864,-0.00150274626569968,-0.0197274601056274,-0.000264752259149569
1932,-0.0722571273825053,0.0151248627264147,-0.0634081971822137,-0.0026757681717444,-0.00144513546411144,-0.0190930167659168,-0.000270309390738153
1933,-0.072062885823783,0.0149123907115527,-0.0629937410394599,-0.0027251511029615,-0.00146314095786009,-0.0189894037963908,-0.000276216394333291
1934,-0.0736905533830811,0.0150044891453224,-0.0640247094533772,-0.00280561428754026,-0.00153313624433501,-0.0194775888887334,-0.000284111017565495
1935,-0.0764628795816305,0.0153137580411905,-0.0660519793642813,-0.00291120649010958,-0.00163131754448101,-0.0203075410589173,-0.000294180961331689
1936,-0.0799873438943079,0.0157776237232614,-0.0687486493850427,-0.00303614115847091,-0.00173776122826685,-0.0213586635869688,-0.000306133007559694
1937,-0.0826809103758882,0.0160452297840064,-0.0706708696516625,-0.00313017700853743,-0.00174861961064014,-0.0222698098441123,-0.000317586939822172
1938,-0.0842967229309637,0.0161466171693424,-0.0716936763828388,-0.00319997822300821,-0.00171828935629437,-0.0228726437568836,-0.000328202535866726
1939,-0.0867836102779697,0.0164391705981273,-0.0735420539718465,-0.00329060086178427,-0.0017423451329086,-0.0236907593571998,-0.000339331319358558
1940,-0.0901378796201426,0.0167922128021429,-0.0758950906401398,-0.00337634268183028,-0.00173035924535114,-0.0249066919583287,-0.000348632868697547
1941,-0.0935694588736427,0.0171574702215465,-0.078372630248467,-0.00345314900734155,-0.00172468668781434,-0.0261433552864604,-0.000356377053883592
1942,-0.0970862255152116,0.017587982711432,-0.080994893111063,-0.00354080703072619,-0.00178690763051539,-0.027251878373892,-0.000363660192402128
1943,-0.10027041666458,0.0179697298647074,-0.0833760442557576,-0.00363926147342355,-0.00184353307606276,-0.028216016634184,-0.000370397486585782
1944,-0.101725726396602,0.0180800972763679,-0.0843743036416786,-0.0037354919873888,-0.00186134467067131,-0.0285578619796729,-0.000376533458322797
1945,-0.100920660714702,0.0178486639146539,-0.0835642113547166,-0.00380349130178095,-0.00181886293426031,-0.0282115565985437,-0.000382288865541988
1946,-0.100478340585431,0.0175431483850545,-0.0828502405130746,-0.00385791845453647,-0.00172338384404506,-0.0281275950720031,-0.000388689587521367
1947,-0.102228322326919,0.0174880167874439,-0.0837349486531576,-0.00396649790242129,-0.00166186057788553,-0.0288289158537794,-0.000398537542019242
1948,-0.104946315957903,0.0177217671801272,-0.0856004677155836,-0.00410961772249299,-0.00171270939265092,-0.0296189031983192,-0.000412016754750839
1949,-0.107868248998853,0.0182656054042731,-0.0880745821039396,-0.00426673389801938,-0.0019067214148596,-0.0301902815910483,-0.000427372424113917
1950,-0.111396530450821,0.0188532139248208,-0.0909642853491696,-0.00445314407362351,-0.00205517769803477,-0.031044584531535,-0.00044072977682447
1951,-0.11467060929053,0.0190706326639222,-0.0931034165658366,-0.00461387934112306,-0.00200050679776809,-0.0322104696408515,-0.000448947824179737
1952,-0.117920971569995,0.0192832859108845,-0.0952355037057916,-0.004782169998353,-0.0019789466735202,-0.0333392192672366,-0.000456365203072528
1953,-0.121802858548638,0.0197670636928329,-0.0981602312162626,-0.00499971120511903,-0.00209210577035893,-0.0343992038362949,-0.000465906433690203
1954,-0.126279651422366,0.0203783230729235,-0.101579210536771,-0.00523362223952791,-0.00219328448639385,-0.0356813953271028,-0.00047561756814005
1955,-0.132315737210145,0.0212199857884175,-0.106173833499558,-0.00549304725404928,-0.00231637121721982,-0.0374466818616207,-0.000487638971735337
1956,-0.139814679044659,0.0225210224586358,-0.112331459716792,-0.0057977017988838,-0.00259815756796377,-0.0394024089494462,-0.000504743287038585
1957,-0.146980532798976,0.0238763810837011,-0.118305197612632,-0.00607730559244212,-0.00284908149057036,-0.041283484020937,-0.000521941336961438
1958,-0.152937463643006,0.0248733436281735,-0.123074085028191,-0.00626698073573991,-0.00284604020232188,-0.0431949336224132,-0.000533842535459289
